MS_SURVEILLANCE_ID;MS_SURVEILLANCE_NAME;ENDOS_ID;ENDOS_NAME
w30w62U4y4W;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Niou/CSPS Napalgue;QxJxGEJgdP1;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Niou/CSPS Napalgue
bSy8Hv4j804;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Niou/CSPS Zeguedeghin de niou;IfK3PyGRjxY;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Niou/CSPS Zeguedeghin
grQPeVkHwkr;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Sourgoubila/CSPS Lao;JHVRhQxyl4I;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Sourgoubila/CSPS Lao
A3k2ZUpfIjI;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Nagreongo/CSPS Napamboumbou;PjkU2TaJYg2;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Nagreongo/CSPS Napamboumbou
NqUOtspQWl8;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/CSPS Ipala;mih1qgTFM8j;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/Dispensaire Ipala 
sHSkvgapRpR;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/CSPS Shalom de Guiloungou;iyHNPTt0aQ6;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/CM Guiloungou
KaLu3WKwL90;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/CSPS MOUTTI;ych7OSz12cE;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/Dispensaire Mouti
MXhc0KKS1r5;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/CSPS Badnogo de Ziniare;JFI9PO1pN4W;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Ziniare/Dispensaire Badnogo
BFTHyCt43ux;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Dapelogo/CSPS Tabtenga;wOe7Y0WR07H;Burkina Faso/Plateau Central/Oubritenga/DS Ziniaré/Loumbila/CSPS Tabtenga
DvzSPaTGDZl;Burkina Faso/Plateau Central/Ganzourgou/DS Zorgho/Zam/CSPS Nagbandre;QRKcBaIehQb;Burkina Faso/Plateau Central/Ganzourgou/DS Zorgho/Zam/CSPS Nangbangdre
zc3cgH23LgF;Burkina Faso/Sahel/Yagha/DS Sebba/Mansila/CSPS Tepare;bN5fUIx1wSF;Burkina Faso/Sahel/Yagha/DS Sebba/Mansila/CSPS Tepare
UOExnkPo8fy;Burkina Faso/Sahel/Yagha/DS Sebba/Tankougounadjé/CSPS Tiena;WFoyUYXY6Ys;Burkina Faso/Sahel/Yagha/DS Sebba/Tankougounadjé/CSPS Tiena
jpsaHyXpHed;Burkina Faso/Sud Ouest/Ioba/DS Dano/Dissin/CSPS Navrikpè;GKAABf60I1u;Burkina Faso/Sud Ouest/Ioba/DS Dano/Dissin/CSPS Navrikpè
qUElOGvYMKA;Burkina Faso/Sud Ouest/Noumbiel/DS Batié/Batie/CSPS KOUDIO;RbB5zLI1gt3;Burkina Faso/Sud Ouest/Noumbiel/DS Batié/Batie/CSPS Koudjo
