KOBOTOOLBOX_NAME;KOBOTOOLBOX_LABEL;RESUREPMRAH_NAME;RESUREPMRAH_ID
TANSILA;TANSILA;PCVF TANSILA;ihYtMSqpCxS
TCHERIBA;TCHERIBA;PV Tchériba;Rj9BuW4O4DV
TENADO;TENADO;PV Ténado;LWe243DghLu
THIOU;THIOU;PCVF THIOU;ERENpZ83Bhb
TIEBELE;TIEBELE;PV Tiébélé;VCTQZ0rDKpm
TIKARE;TIKARE;PV TIKARE;snQHlZvYXBj
TIN-AKOFF;TIN-AKOFF;PV TIN-AKOFF;pFkqahDBWwZ
TOECE;TOECE;PV Toécé;UtR2Q0ZlKIb
TOENI;TOENI;PV TOENI;F3z2hZZCYXx
TOUGOURI;TOUGOURI;PV TOUGOURI;h2Qvf21Iu1g
TOUSSIANA;TOUSSIANA;PV TOUSSIANA;ljKPGIhPukS
YALGO;YALGO;PV YALGO;EobOsxqbe4I
YILOU/BAM;YILOU/BAM;PV YILOU;mgYYrVkVqCy
ZABRE;ZABRE;PV ZABRE;j6BLo7izYUY
ZECCO;ZECCO;PCVF Zecco;g38ZldyNWym
ZITENGA;ZITENGA;PV Zitenga;fYGB8vKzREA
