typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
HEBDOMADAIRE;;;;dccbQP5s48Z;;;;;;;;;;;;;TLOH;N98aAfUyooe;;dccbQP5s48Z;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;eaZeWwahMg9;;;;;;;;;;;;;TLOH;N98aAfUyooe;;eaZeWwahMg9;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;f97HUSKfhGg;;;;;;;;;;;;;TLOH;N98aAfUyooe;;f97HUSKfhGg;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;imAAT58Rish;;;;;;;;;;;;;TLOH;N98aAfUyooe;;imAAT58Rish;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;jxi5c8zcodr;;;;;;;;;;;;;TLOH;N98aAfUyooe;;jxi5c8zcodr;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;lvzUxAB6UgJ;;;;;;;;;;;;;TLOH;N98aAfUyooe;;lvzUxAB6UgJ;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;nq0rg36Ovau;;;;;;;;;;;;;TLOH;N98aAfUyooe;;nq0rg36Ovau;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;om782lgxQNw;;;;;;;;;;;;;TLOH;N98aAfUyooe;;om782lgxQNw;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;rHsPcK9Goif;;;;;;;;;;;;;TLOH;N98aAfUyooe;;rHsPcK9Goif;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;rY7YN7BFB86;;;;;;;;;;;;;TLOH;N98aAfUyooe;;rY7YN7BFB86;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;soIqKuiCif7;;;;;;;;;;;;;TLOH;N98aAfUyooe;;soIqKuiCif7;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;tYLnsI7BEH8;;;;;;;;;;;;;TLOH;N98aAfUyooe;;tYLnsI7BEH8;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;uOJE1drdxsF;;;;;;;;;;;;;TLOH;N98aAfUyooe;;uOJE1drdxsF;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;v7rhSBn4BSq;;;;;;;;;;;;;TLOH;N98aAfUyooe;;v7rhSBn4BSq;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;xnUp1CrqFie;;;;;;;;;;;;;TLOH;N98aAfUyooe;;xnUp1CrqFie;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;Nombre de cas de COVID-19;phlQHuyA310;;;;;;;;;;;;;TLOH;N98aAfUyooe;Nombre de cas de COVID-19;phlQHuyA310;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;Nombre de décès de COVID-19;X7iLoc9MQSc;;;;;;;;;;;;;TLOH;N98aAfUyooe;Nombre de décès de COVID-19;X7iLoc9MQSc;;;;XELcwO4SEhs;;;;;;;;
