ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;2;Date Opération;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;3;Code Mois de la GASPA planifié;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;4;Code Etat de la femme;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;5;Code Groupe affectation;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;6;Nombre membre du groupe;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;7;Code Opération;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
14;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;planigaspa;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
