ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;2;Code Personne;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;3;Date enrôlement GASPA;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;4;Code Etat de la femme;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;5;Code Groupe affectation;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;6;Position de la femme dans la liste de presence;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;7;Code Opération;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enrogaspa;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
