source_dhis_programName;source_dhis_programId;source_dhis_programEnrolmentDate;source_dhis_programIncidentDate;source_dhis_programOrgUnitCode;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageOrgUnitCode;source_dhis_programStageEventDate;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_programEnrolmentDate;destination_dhis_programIncidentDate;destination_dhis_programOrgUnitCode;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageOrgUnitCode;destination_dhis_programStageEventDate;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching;changeValue
Gestion des Gaspa;kbmpH4q6sVE;;;;Mois de la GASPA planifié;qAj8agtQmEU;;;;;;;Gestion des Gaspa;kbmpH4q6sVE;Mois de la GASPA planifié;qAj8agtQmEU;;;Gestion des Gaspa;kbmpH4q6sVE;;;;Mois de la GASPA planifié;qAj8agtQmEU;;;;;;;Gestion des Gaspa;kbmpH4q6sVE;Mois de la GASPA planifié;qAj8agtQmEU;;;;;
Gestion des Gaspa;kbmpH4q6sVE;;;;Etat de la femme;zpSuU5WgJoL;;;;oui;;;Gestion des Gaspa;kbmpH4q6sVE;Etat de la femme;zpSuU5WgJoL;;;Gestion des Gaspa;kbmpH4q6sVE;;;;Etat de la femme;zpSuU5WgJoL;;;;oui;;;Gestion des Gaspa;kbmpH4q6sVE;Etat de la femme;zpSuU5WgJoL;;;;;
Gestion des Gaspa;kbmpH4q6sVE;;;;Groupe GASPA;j7gpuhI432A;;;;;;;Gestion des Gaspa;kbmpH4q6sVE;Groupe GASPA;j7gpuhI432A;;;Gestion des Gaspa;kbmpH4q6sVE;;;;Groupe GASPA;j7gpuhI432A;;;;;;;Gestion des Gaspa;kbmpH4q6sVE;Groupe GASPA;j7gpuhI432A;;;;;9a09
Gestion des Gaspa;kbmpH4q6sVE;;;;Nombre membre du groupe;m8gr5q2aM8e;;;;;;;;;;;;;Gestion des Gaspa;kbmpH4q6sVE;;;;Nombre membre du groupe;m8gr5q2aM8e;;;;;;;;;;;;;;;
Gestion des Gaspa;kbmpH4q6sVE;;;;Code de la planification;MRXzjjr4IHZ;;;;;;;;;;;;;Gestion des Gaspa;kbmpH4q6sVE;;;;Code Opération;g2gy1LlEUJL;;;;;;;;;;;;;;;
Gestion des Gaspa;kbmpH4q6sVE;;;;Code Opération;g2gy1LlEUJL;;;;;;;;;;;;;Gestion des Gaspa;kbmpH4q6sVE;;;;Code Opération;g2gy1LlEUJL;;;;;;;;;;;;;;;
