EDM_id;EDM_Region;EDM_DS;EDM_commune;EDM_FS;EGRATUITE_id;EGRATUITE_Region;EGRATUITE_DS;EGRATUITE_commune;EGRATUITE_FS;EQUALITE_id;EQUALITE_Region;EQUALITE_DS;EQUALITE_commune;EQUALITE_FS
I0IyBB3Lvup;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bagassi;rUI2Sg9TDL4;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS BAGASSI ;I0IyBB3Lvup;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bagassi
YXTb2aCZjF3;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bandio;xpNq5leGX65;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS BANDIO ;YXTb2aCZjF3;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bandio
jjxBW5hdtGB;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS de Kahin;Kxycqa9zydo;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS KAHIN ;jjxBW5hdtGB;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS de Kahin
qoy4ApRBTtx;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Mana;oEnRl9M31C8;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS MANA ;qoy4ApRBTtx;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Mana
L1CBQQUbVhT;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Pahin;IzWHrCVYeen;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS PAHIN ;L1CBQQUbVhT;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Pahin
grmUevrZQzE;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Vy;HmZuDee39Oz;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS VY ;grmUevrZQzE;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Vy
Sw820gEd1XY;Boucle du Mouhoun;DS Boromo;Bana;CSPS Bana;WSEUBoUhvJ7;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS BANA ;Sw820gEd1XY;Boucle du Mouhoun;DS Boromo;Bana;CSPS Bana
vbc9BdMuEH1;Boucle du Mouhoun;DS Boromo;Bana;CSPS Wona;X7KX5iHYZNX;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS WONA ;vbc9BdMuEH1;Boucle du Mouhoun;DS Boromo;Bana;CSPS Wona
YlyF7Cdu3wA;Boucle du Mouhoun;DS Boromo;Bana;CSPS Yona;KDczocHUYmJ;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS YONA ;YlyF7Cdu3wA;Boucle du Mouhoun;DS Boromo;Bana;CSPS Yona
KvNOePwHFyH;Boucle du Mouhoun;DS Boromo;Boromo;CMA Boromo;Bivjv8T5VGf;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CMA BOROMO ;KvNOePwHFyH;Boucle du Mouhoun;DS Boromo;Boromo;CMA Boromo
ISCDCdUH7uy;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Boromo;fsTV2DaZnWr;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS BOROMO ;ISCDCdUH7uy;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Boromo
F2vZovH4IOR;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Koho;VNXcIsoEO4Z;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS KOHO DS BOROMO ;F2vZovH4IOR;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Koho
xgRTn9AjUup;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Nanou;tKCsJrh2Zfk;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS NANOU ;xgRTn9AjUup;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Nanou
f7S9Gl3DQKe;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Ouahabou;yJl5LAu7G4T;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS OUAHABOU ;f7S9Gl3DQKe;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Ouahabou
IT2zpPMrkEk;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Ourobonon;qD41p4Mlton;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS OUROUBONON ;IT2zpPMrkEk;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Ourobonon
WmpX43UWW3D;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Urbain 2;OjRrD3ZbBZc;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS URBAIN 2 DS BOROMO ;WmpX43UWW3D;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Urbain 2
kHm8UzElwIh;Boucle du Mouhoun;DS Boromo;Fara;CSPS Fara;SwQiVpfBQbk;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE FARA ;CSPS FARA ;kHm8UzElwIh;Boucle du Mouhoun;DS Boromo;Fara;CSPS Fara
abrV7L5WpGv;Boucle du Mouhoun;DS Boromo;Fara;CSPS Kabourou (Fara);B6m9QGqWBD4;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE FARA ;CSPS KABOUROU FARA ;abrV7L5WpGv;Boucle du Mouhoun;DS Boromo;Fara;CSPS Kabourou (Fara)
sTBLoyQovRp;Boucle du Mouhoun;DS Boromo;Fara;CSPS Koumbia;trQIurXIjHW;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE FARA ;CSPS KOUMBIA DS BOROMO ;sTBLoyQovRp;Boucle du Mouhoun;DS Boromo;Fara;CSPS Koumbia
gqKU43tKYTb;Boucle du Mouhoun;DS Boromo;Fara;CSPS Laro;AkLjAQczzCo;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE FARA ;CSPS LARO ;gqKU43tKYTb;Boucle du Mouhoun;DS Boromo;Fara;CSPS Laro
t1Akjzpsp5l;Boucle du Mouhoun;DS Boromo;Fara;CSPS Nabou;oKaFzTslgd0;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE FARA ;CSPS NABOU ;t1Akjzpsp5l;Boucle du Mouhoun;DS Boromo;Fara;CSPS Nabou
kAxtwlTxDlE;Boucle du Mouhoun;DS Boromo;Fara;CSPS Ton;kjuxThmqYlx;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE FARA ;CSPS TON ;kAxtwlTxDlE;Boucle du Mouhoun;DS Boromo;Fara;CSPS Ton
KabWOVOhdGm;Boucle du Mouhoun;DS Boromo;Fara;CSPS Toné;fO5Ef8yKEiv;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE FARA ;CSPS TONE ;KabWOVOhdGm;Boucle du Mouhoun;DS Boromo;Fara;CSPS Toné
xC5tTZVHYLV;Boucle du Mouhoun;DS Boromo;Oury;CSPS Dah;G5MiyaoOGPv;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS DAH ;xC5tTZVHYLV;Boucle du Mouhoun;DS Boromo;Oury;CSPS Dah
jwkPV5FkKC3;Boucle du Mouhoun;DS Boromo;Oury;CSPS Mou;CCJHecPedLV;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS MOU DS BOROMO ;jwkPV5FkKC3;Boucle du Mouhoun;DS Boromo;Oury;CSPS Mou
slMq3iBiRIK;Boucle du Mouhoun;DS Boromo;Oury;CSPS Oullo;SHmMGocvvjS;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS OULLO ;slMq3iBiRIK;Boucle du Mouhoun;DS Boromo;Oury;CSPS Oullo
wMlKJk6rxzC;Boucle du Mouhoun;DS Boromo;Oury;CSPS Oury;dnSxlhi7i6N;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS OURY ;wMlKJk6rxzC;Boucle du Mouhoun;DS Boromo;Oury;CSPS Oury
Eb4jQf6izx8;Boucle du Mouhoun;DS Boromo;Oury;CSPS Sani;jAKOxMEhM6m;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS SANI ;Eb4jQf6izx8;Boucle du Mouhoun;DS Boromo;Oury;CSPS Sani
Pdz0Yw7dyOw;Boucle du Mouhoun;DS Boromo;Oury;CSPS Séréna;utiJOD0Hfcx;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS SERENA ;Pdz0Yw7dyOw;Boucle du Mouhoun;DS Boromo;Oury;CSPS Séréna
id3yM1A6Zep;Boucle du Mouhoun;DS Boromo;Oury;CSPS Siou;bMVkcbncD6n;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS SIOU ;id3yM1A6Zep;Boucle du Mouhoun;DS Boromo;Oury;CSPS Siou
VRvWFA1FHQ2;Boucle du Mouhoun;DS Boromo;Oury;CSPS Soubouy;yzFuB0qQiM2;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE OURY ;CSPS SOUBOUY ;VRvWFA1FHQ2;Boucle du Mouhoun;DS Boromo;Oury;CSPS Soubouy
FjYiGlevzzU;Boucle du Mouhoun;DS Boromo;Pa;CSPS Kopoïe;FUk7QSfnZwO;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE PA ;CSPS KOPOIE ;FjYiGlevzzU;Boucle du Mouhoun;DS Boromo;Pa;CSPS Kopoïe
TQGmCPtI3MB;Boucle du Mouhoun;DS Boromo;Pa;CSPS Pâ;xySrUUzymYO;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE PA ;CSPS PA ;TQGmCPtI3MB;Boucle du Mouhoun;DS Boromo;Pa;CSPS Pâ
aWXhckHGDXQ;Boucle du Mouhoun;DS Boromo;Pa;CSPS Yamane;aNuKn5Zqcqo;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE PA ;CSPS YAMANE ;aWXhckHGDXQ;Boucle du Mouhoun;DS Boromo;Pa;CSPS Yamane
P7K0MR4tTYe;Boucle du Mouhoun;DS Boromo;Pompoi;CSPS Kokoï;fRT8QOuXxO0;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE POMPOI ;CSPS KOKOI ;P7K0MR4tTYe;Boucle du Mouhoun;DS Boromo;Pompoi;CSPS Kokoï
nu3MBcO4SWG;Boucle du Mouhoun;DS Boromo;Pompoi;CSPS Konkoliko;ZQmDJEA0ntb;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE POMPOI ;CSPS KONKOLIKO ;nu3MBcO4SWG;Boucle du Mouhoun;DS Boromo;Pompoi;CSPS Konkoliko
qVpj0fDe7VF;Boucle du Mouhoun;DS Boromo;Pompoi;CSPS Pompoï;IFzg15Ax4V8;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE POMPOI ;CSPS POMPOI ;qVpj0fDe7VF;Boucle du Mouhoun;DS Boromo;Pompoi;CSPS Pompoï
PSCuMJ7CUpm;Boucle du Mouhoun;DS Boromo;Poura;CM Poura;c5KOhvPPXQK;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE POURA ;CSPS POURA ;PSCuMJ7CUpm;Boucle du Mouhoun;DS Boromo;Poura;CM Poura
tpKLynee7Q9;Boucle du Mouhoun;DS Boromo;Poura;CSPS Pig pore;S675B8mcPfa;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE POURA ;CSPS PIG-PORE ;tpKLynee7Q9;Boucle du Mouhoun;DS Boromo;Poura;CSPS Pig pore
gLgxilDi0do;Boucle du Mouhoun;DS Boromo;Siby;CSPS Kalembouly;YglDqcURVwt;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE SIBY ;CSPS KALEMBOULY ;gLgxilDi0do;Boucle du Mouhoun;DS Boromo;Siby;CSPS Kalembouly
lh7TK6UzAaq;Boucle du Mouhoun;DS Boromo;Siby;CSPS Secaco;EJj4tgBABia;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE SIBY ;CSPS SECACO ;lh7TK6UzAaq;Boucle du Mouhoun;DS Boromo;Siby;CSPS Secaco
cHgCAuoQnhs;Boucle du Mouhoun;DS Boromo;Siby;CSPS Siby (Siby);Wogl0yhafbd;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE SIBY ;CSPS SIBY SIBY ;cHgCAuoQnhs;Boucle du Mouhoun;DS Boromo;Siby;CSPS Siby (Siby)
mQNF4k3rqP0;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Bondo;CK2HRsbN7rt;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE YAHO ;CSPS BONDO ;mQNF4k3rqP0;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Bondo
IXMmTgbT1QT;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Fobiri;CKPthY2dMHF;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE YAHO ;CSPS FOBIRI ;IXMmTgbT1QT;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Fobiri
LgHmM4gnfZB;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Madou;V8QqwDVigPV;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE YAHO ;CSPS MADOU ;LgHmM4gnfZB;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Madou
uWYEs8hr8Cq;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Mamou;g69OgO9LVfy;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE YAHO ;CSPS MAMOU ;uWYEs8hr8Cq;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Mamou
UYxDrcJiryO;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Yaho;BOlrLAvHZFN;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE YAHO ;CSPS YAHO ;UYxDrcJiryO;Boucle du Mouhoun;DS Boromo;Yaho;CSPS Yaho
qN5V7PnExV2;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Bondoukuy;uGwqlXJdWYO;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS BONDOUKUY ;qN5V7PnExV2;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Bondoukuy
dFT26I28PZo;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Bouenevouhoun;dTTt1gSqez6;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS BOUENEVOUHOUN ;dFT26I28PZo;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Bouenevouhoun
OSVY7zuj6Ti;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Dora;XIaxwMwQzpy;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS DORA ;OSVY7zuj6Ti;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Dora
xuTop0y1JVM;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Kera (Bondoukuy);NTXl2Ef0Gqp;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS KERA (BONDOUKUY) ;xuTop0y1JVM;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Kera (Bondoukuy)
BNO9JAASRXe;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Koumana;xqUlKK6xZ5q;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS KOUMANA ;BNO9JAASRXe;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Koumana
EoGMlYDDEH9;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Ouakara (Bondoukuy);s4J3iYpK2bw;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS OUAKARA (BONDOUKUY);EoGMlYDDEH9;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Ouakara (Bondoukuy)
UjKf2GEFYUk;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Tia;Usg5TRDir9N;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS TIA ;UjKf2GEFYUk;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Tia
RhtqVIz37kr;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Wakuy;CY7lMmmthA7;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS WAKUY ;RhtqVIz37kr;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Wakuy
UeUa0zKesSk;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Zanzaka;nMQXmVzFafi;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE BONDOKUY ;CSPS ZANZAKA ;UeUa0zKesSk;Boucle du Mouhoun;DS Dedougou;Bondokuy;CSPS Zanzaka
VqHjwBmDmb0;Boucle du Mouhoun;DS Dedougou;Dedougou;CMU Dedougou;XYfatkH2ofB;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CMU DEDOUGOU ;VqHjwBmDmb0;Boucle du Mouhoun;DS Dedougou;Dedougou;CMU Dedougou
fwUraTcZikH;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Communal (Dédougou);DkFnEzmv94T;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS COMMUNAL (DEDOUGOU) ;fwUraTcZikH;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Communal (Dédougou)
t6xKuV6jAF6;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Dona;ggFFoJunCv0;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS DONA ;t6xKuV6jAF6;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Dona
x1TOPQFm5ko;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Fakouna;MNtbuQghLLy;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS FAKOUNA ;x1TOPQFm5ko;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Fakouna
c8XuqQqncUj;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Kari (Dedougou);MvSqg4IsSCS;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS KARI (DEDOUGOU) ;c8XuqQqncUj;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Kari (Dedougou)
vgcmwjyZZZV;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Karo;ZeOEgneIM6J;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS KARO ;vgcmwjyZZZV;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Karo
lFgk5ar1qvQ;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Passakongo;M3ZQIrGYsTF;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS PASSAKONGO ;lFgk5ar1qvQ;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Passakongo
d67JYtqs8Z1;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Secteur 3;dFR5Q1ZUcfa;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS SECTEUR 03 DEDOUGOU ;d67JYtqs8Z1;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Secteur 3
pP7ldkbNZZt;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Soukuy;h0hUl4F7JL1;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS SOUKUY ;pP7ldkbNZZt;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Soukuy
fxmA8NhImDu;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Tionkuy;eYGbmHT6b7S;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS TIONKUY ;fxmA8NhImDu;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Tionkuy
uFxY4YNiXqC;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Torouba (Dédougou);GXgSufkn07G;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DEDOUGOU ;CSPS TOROUBA (DEDOUGOU) ;uFxY4YNiXqC;Boucle du Mouhoun;DS Dedougou;Dedougou;CSPS Torouba (Dédougou)
Fr1wPtIHtcW;Boucle du Mouhoun;DS Dedougou;Douroula;CSPS Bladi;d5dnsPDrco7;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DOUROULA ;CSPS BLADI ;Fr1wPtIHtcW;Boucle du Mouhoun;DS Dedougou;Douroula;CSPS Bladi
FDy3NgDjgSN;Boucle du Mouhoun;DS Dedougou;Douroula;CSPS Douroula;OnxWv6h6vQt;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DOUROULA ;CSPS DOUROULA ;FDy3NgDjgSN;Boucle du Mouhoun;DS Dedougou;Douroula;CSPS Douroula
dg5iCaMnsGE;Boucle du Mouhoun;DS Dedougou;Douroula;CSPS Toroba (Douroula);iXpLnM0Zaym;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE DOUROULA ;CSPS TOROBA (DOUROULA) ;dg5iCaMnsGE;Boucle du Mouhoun;DS Dedougou;Douroula;CSPS Toroba (Douroula)
WXxnj8G5rDM;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Dangouna;uk1LIw3zzHl;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE KONA ;CSPS DANGOUNA ;WXxnj8G5rDM;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Dangouna
dOu3pTmO8AY;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Koana;VXkY9cBmPrv;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE KONA ;CSPS KOANA ;dOu3pTmO8AY;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Koana
n0HrvIbWpWi;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Kona;tldd9yY3Ql4;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE KONA ;CSPS KONA ;n0HrvIbWpWi;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Kona
cJ2wPv9uDms;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Lah;Z5WXHXIziE3;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE KONA ;CSPS LAH ;cJ2wPv9uDms;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Lah
gcwyhctnb1L;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Pié;bkid8fK3jku;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE KONA ;CSPS PIE ;gcwyhctnb1L;Boucle du Mouhoun;DS Dedougou;Kona;CSPS Pié
UDhqMCGVRhz;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Doudou (Ouarkoye);lojQLVY58Z0;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE OUARKOYE ;CSPS DOUDOU (OUARKOYE) ;UDhqMCGVRhz;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Doudou (Ouarkoye)
qygBxETKlVq;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Fakena;xmUIsuvhMoI;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE OUARKOYE ;CSPS FAKENA ;qygBxETKlVq;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Fakena
NBobygpAku1;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Fouankuy;H8p1gSINzGO;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE OUARKOYE ;CSPS KOSSO DS DEDOUGOU ;NBobygpAku1;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Fouankuy
V8CtnHa0tBi;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Ouarkoye;Wp1nzCmfanI;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE OUARKOYE ;CSPS OUARKOYE ;V8CtnHa0tBi;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Ouarkoye
sWdcVHQrC9S;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Poundou;FjqPVBgH2WH;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE OUARKOYE ;CSPS POUNDOU ;sWdcVHQrC9S;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Poundou
JdHP30oixyy;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS SOANA;gjFfvXDRLIL;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE OUARKOYE ;CSPS SOANA ;JdHP30oixyy;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS SOANA
K1wprgQ5uFc;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Tiokuy;WIY0QDd6Ts9;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE OUARKOYE ;CSPS TIOKUY ;K1wprgQ5uFc;Boucle du Mouhoun;DS Dedougou;Ouarkoye;CSPS Tiokuy
e5KWfWbonmt;Boucle du Mouhoun;DS Dedougou;Safane;CM Safane;Zgd2X7oRcnC;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE SAFANE ;CM SAFANE ;e5KWfWbonmt;Boucle du Mouhoun;DS Dedougou;Safane;CM Safane
LYZR3qDQOKr;Boucle du Mouhoun;DS Dedougou;Safane;CSPS BANOU;cjVCTHws66K;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE SAFANE ;CSPS BANOU ;LYZR3qDQOKr;Boucle du Mouhoun;DS Dedougou;Safane;CSPS BANOU
e1vxqZ61pUp;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Datomo;tVxS9P2fV1X;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE SAFANE ;CSPS DATOMO ;e1vxqZ61pUp;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Datomo
CspU5bwK7Ku;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Kienséré;NUA6N3i0c1o;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE SAFANE ;CSPS KIENSERE ;CspU5bwK7Ku;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Kienséré
GUX4IiQvhME;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Lanfiera (DS Dédougou);lFJIndMwM6T;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE SAFANE ;CSPS LANFIERA (DS DEDOUGOU) ;GUX4IiQvhME;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Lanfiera (DS Dédougou)
WTXWiDIKDOM;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Nounou;X1UGPLl5WXG;BOUCLE DU MOUHOUN ;DS DEDOUGOU ;COMMUNE SAFANE ;CSPS NOUNOU ;WTXWiDIKDOM;Boucle du Mouhoun;DS Dedougou;Safane;CSPS Nounou
