ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;1;Code ASBC;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;2;Code Opération de planification;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Code Opération de planification;THYNeUef34n;Gestion des Gaspa;kbmpH4q6sVE;Code de la planification;MRXzjjr4IHZ;Code Opération de planification;THYNeUef34n;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;3;Date Opération;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;4;Code Mois de la GASPA planifié;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;5;Code Etat de la femme;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;6;Code Groupe affectation;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;7;Nombre de personnes présentes;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Nombre de personnes présentes;l8yPx23u7vz;;;;;;;;;;;;;;;;;;;;;;;;;;
